lettersIn,batchIn,wordIn,wordKnownIn,wordLengthIn,numWordsIn,resultOut,heightOut,timeOut
3,1,she,true,3,82,true,3,35.5
3,1,cap,true,3,82,true,3,36
3,1,rip,true,3,82,true,3,35.5
3,1,hit,true,3,82,true,3,34
3,1,tin,true,3,82,true,3,39
3,1,infrastructure,false,14,82,false,2,26.5
3,1,gig,true,3,82,true,3,28
3,2,lung,false,4,82,false,1,17.5
3,2,low,true,3,82,true,3,36.5
3,2,eighty,false,6,82,false,1,28
3,2,fly,true,3,82,true,3,29.5
3,2,tea,true,3,82,true,3,28.5
3,2,eat,true,3,82,true,3,30
3,2,cemetery,false,8,82,false,1,20
3,2,sun,true,3,82,true,3,32
3,2,understanding,false,13,82,false,1,22
3,2,observer,false,8,82,false,1,22
3,2,largely,false,7,82,false,2,30.5
3,2,mainland,false,8,82,false,2,32.5
3,2,merchant,false,8,82,false,2,26.5
3,2,bin,true,3,82,true,3,35
3,2,if,true,2,82,true,2,28
3,2,kid,true,3,82,true,3,35
3,2,ski,true,3,82,true,3,35.5
3,2,inclined,false,8,82,false,2,32.5
3,2,tin,true,3,82,true,3,34.5
3,2,but,true,3,82,true,3,34.5
3,2,considerable,false,12,82,false,2,50.5
3,2,any,true,3,82,true,3,64
3,2,on,true,2,82,true,2,45
3,2,lot,true,3,82,true,3,51.5
3,2,fry,true,3,82,true,3,54.5
3,2,needle,false,6,82,false,2,46
3,2,practice,false,8,82,false,1,32.5
3,2,presentation,false,12,82,false,1,37
3,2,cap,true,3,82,true,3,60.5
3,2,too,true,3,82,true,3,63.5
3,2,war,true,3,82,true,3,58.5
3,2,tie,true,3,82,true,3,67.5
3,2,male,false,4,82,false,2,51
3,2,cup,true,3,82,true,3,62
3,2,cancel,false,6,82,false,3,66.5
3,2,auction,false,7,82,false,1,40
3,2,bizarre,false,7,82,false,2,47.5
3,2,establish,false,9,82,false,1,35
3,2,bay,true,3,82,true,3,71
3,2,sorry,false,5,82,false,2,31.5
3,2,sensitive,false,9,82,false,2,21.5
3,2,ashamed,false,7,82,false,3,30
3,2,we,true,2,82,true,2,26
3,2,frozen,false,6,82,false,2,29.5
3,2,confer,false,6,82,false,2,33
3,2,transcript,false,10,82,false,2,28.5
3,2,wednesday,false,9,82,false,2,27.5
3,2,sea,true,3,82,true,3,35.5
3,2,hi,true,2,82,true,2,23.5
3,2,go,true,2,82,true,2,25.5
3,2,skilled,false,7,82,false,3,34
3,2,beg,true,3,82,true,3,31.5
3,2,theatre,false,7,82,false,3,34.5
3,2,who,true,3,82,true,3,33.5
3,2,delete,false,6,82,false,1,20
3,2,or,true,2,82,true,2,23.5
3,2,though,false,6,82,false,2,30.5
3,2,prayer,false,6,82,false,1,19.5
3,2,new,true,3,82,true,3,33
3,2,no,true,2,82,true,2,23.5
3,2,do,true,2,82,true,2,25
3,2,republic,false,8,82,false,2,29.5
3,2,session,false,7,82,false,2,29
3,2,machinery,false,9,82,false,2,30
3,2,organizational,false,14,82,false,2,23.5
3,2,fear,false,4,82,false,2,22.5
3,2,nasty,false,5,82,false,1,16.5
3,2,pit,true,3,82,true,3,27
3,2,ten,true,3,82,true,3,31
3,2,can,true,3,82,true,3,32
3,2,odd,true,3,82,true,3,25.5
3,2,car,true,3,82,true,3,30.5
3,2,man,true,3,82,true,3,31.5
3,2,the,true,3,82,true,3,33.5
3,2,she,true,3,82,true,3,33
3,2,self,false,4,82,false,2,28
3,2,frustration,false,11,82,false,2,30.5
3,2,top,true,3,82,true,3,35
3,2,spicy,false,5,82,false,2,28
3,2,active,false,6,82,false,3,34
3,2,he,true,2,82,true,2,22.5
3,2,supervise,false,9,82,false,2,29
3,3,afraid,false,6,82,false,1,22
3,3,onto,false,4,82,false,2,32
3,3,participation,false,13,82,false,2,29
3,3,do,true,2,82,true,2,26.5
3,3,gather,false,6,82,false,2,29
3,3,tin,true,3,82,true,3,36.5
3,3,squeeze,false,7,82,false,1,17.5
3,3,cap,true,3,82,true,3,33
3,3,sigh,false,4,82,false,2,28
3,3,habitat,false,7,82,false,2,31.5
3,3,activation,false,10,82,false,3,36.5
3,3,if,true,2,82,true,2,21.5
3,3,guitar,false,6,82,false,2,22.5
3,3,act,true,3,82,true,3,27
3,3,gap,true,3,82,true,3,30
3,3,ease,false,4,82,false,2,27
3,3,architect,false,9,82,false,2,29.5
3,3,bet,true,3,82,true,3,33
3,3,ever,false,4,82,false,1,21.5
3,3,conquer,false,7,82,false,2,29.5
3,3,interview,false,9,82,false,2,28
3,3,mayor,false,5,82,false,3,34
3,3,hit,true,3,82,true,3,26
3,3,or,true,2,82,true,2,20.5
3,3,eat,true,3,82,true,3,27.5
3,3,ski,true,3,82,true,3,30
3,3,end,true,3,82,true,3,32
3,3,ear,true,3,82,true,3,31.5
3,3,flag,false,4,82,false,2,27.5
3,3,no,true,2,82,true,2,24
3,3,story,false,5,82,false,1,18.5
3,3,sea,true,3,82,true,3,33.5
3,3,existence,false,9,82,false,1,19
3,3,gun,true,3,82,true,3,38.5
3,3,can,true,3,82,true,3,27.5
3,3,prison,false,6,82,false,1,14.5
3,3,raw,true,3,82,true,3,26.5
3,3,prejudice,false,9,82,false,1,16.5
3,3,cup,true,3,82,true,3,26.5
3,3,acceptance,false,10,82,false,2,23.5
3,3,up,true,2,82,true,2,19.5
3,3,sin,true,3,82,true,3,25.5
3,3,web,true,3,82,true,3,27
3,3,rod,true,3,82,true,3,26
3,3,wit,true,3,82,true,3,27.5
3,3,mobile,false,6,82,false,3,26.5
3,3,we,true,2,82,true,2,20
3,3,dense,false,5,82,false,1,16.5
3,3,removal,false,7,82,false,2,23
3,3,career,false,6,82,false,3,43
3,3,who,true,3,82,true,3,49.5
3,3,one,true,3,82,true,3,52.5
3,3,away,false,4,82,false,1,33
3,3,refuse,false,6,82,false,2,49
3,3,mix,true,3,82,true,3,55.5
3,3,obtain,false,6,82,false,1,33.5
3,3,vow,true,3,82,true,3,60
3,3,assistant,false,9,82,false,2,50.5
3,3,why,true,3,82,true,3,60.5
3,3,rent,false,4,82,false,2,50
3,3,variety,false,7,82,false,2,54
3,3,thrive,false,6,82,false,2,52
3,3,spouse,false,6,82,false,2,56.5
3,3,choice,false,6,82,false,2,44.5
3,3,new,true,3,82,true,3,63.5
3,3,how,true,3,82,true,3,65
3,3,accuse,false,6,82,false,2,62.5
3,3,any,true,3,82,true,3,57.5
3,3,cop,true,3,82,true,3,40.5
3,3,he,true,2,82,true,2,20
3,3,son,true,3,82,true,3,25.5
3,3,including,false,9,82,false,2,22
3,3,stable,false,6,82,false,1,16
3,3,tax,true,3,82,true,3,27
3,3,man,true,3,82,true,3,29.5
3,3,costume,false,7,82,false,2,26.5
3,3,terminate,false,9,82,false,3,28.5
3,3,may,true,3,82,true,3,27
3,3,lot,true,3,82,true,3,29
3,3,bin,true,3,82,true,3,43.5
3,3,rehabilitation,false,14,82,false,2,24
3,3,convict,false,7,82,false,2,25
3,4,tin,true,3,82,true,3,27.5
3,4,hip,true,3,82,true,3,29
3,4,indigenous,false,10,82,false,2,26
3,4,on,true,2,82,true,2,22.5
3,4,bedroom,false,7,82,false,3,33
3,4,wit,true,3,82,true,3,33
3,4,terminate,false,9,82,false,3,32
3,4,kid,true,3,82,true,3,30
3,4,bill,false,4,82,false,2,27.5
3,4,how,true,3,82,true,3,32.5
3,4,just,false,4,82,false,1,18
3,4,danger,false,6,82,false,2,28
3,4,stare,false,5,82,false,1,17
3,4,commission,false,10,82,false,2,28
3,4,sea,true,3,82,true,3,31.5
3,4,cease,false,5,82,false,1,19
3,4,beg,true,3,82,true,3,31.5
3,4,cigarette,false,9,82,false,1,17.5
3,4,mainstream,false,10,82,false,2,28
3,4,heat,false,4,82,false,2,28
3,4,but,true,3,82,true,3,34.5
3,4,rip,true,3,82,true,3,32.5
3,4,tie,true,3,82,true,3,31
3,4,sheer,false,5,82,false,3,33
3,4,she,true,3,82,true,3,29
3,4,tide,false,4,82,false,2,26
3,4,vow,true,3,82,true,3,30.5
3,4,amusing,false,7,82,false,1,20
3,4,dirty,false,5,82,false,2,28
3,4,cap,true,3,82,true,3,35
