lettersIn,batchIn,wordIn,wordKnownIn,wordLengthIn,numWordsIn,resultOut,heightOut,timeOut
3,0,try,true,3,256,true,117,0.75
3,0,child,false,5,256,false,256,0.875
3,0,rude,false,4,256,false,256,0.875
3,0,commodity,false,9,256,false,256,0.875
3,0,bind,false,4,256,false,256,0.875
3,0,duo,true,3,256,true,236,2.125
3,0,force,false,5,256,false,256,3.875
3,0,implication,false,11,256,false,256,1.125
3,0,jam,true,3,256,true,150,1.625
3,0,quit,false,4,256,false,256,0.875
3,0,dot,true,3,256,true,208,2.125
3,0,kit,true,3,256,true,217,1.375
3,0,allocate,false,8,256,false,256,1
3,0,downtown,false,8,256,false,256,1.125
3,0,verify,false,6,256,false,256,0.875
3,0,ice,true,3,256,true,62,0.375
3,0,in,true,2,256,true,64,0.25
3,0,non,true,3,256,true,244,1.625
3,0,limb,false,4,256,false,256,1.125
3,0,house,false,5,256,false,256,1.125
3,0,operator,false,8,256,false,256,1
3,0,ash,true,3,256,true,229,1.375
3,0,why,true,3,256,true,127,0.625
3,0,roll,false,4,256,false,256,1.125
3,0,detect,false,6,256,false,256,1.125
3,0,log,true,3,256,true,241,2.875
3,0,feed,false,4,256,false,256,0.625
3,0,servant,false,7,256,false,256,0.75
3,0,firmly,false,6,256,false,256,1.125
3,0,spite,false,5,256,false,256,1.125
3,0,bid,true,3,256,true,204,2.5
3,0,ad,true,2,256,true,174,1
3,0,be,true,2,256,true,15,0.125
3,0,us,true,2,256,true,122,0.75
3,0,tunnel,false,6,256,false,256,1.125
3,0,chicken,false,7,256,false,256,0.625
3,0,egg,true,3,256,true,40,0.25
3,0,her,true,3,256,true,54,0.375
3,0,law,true,3,256,true,153,0.875
3,0,far,true,3,256,true,43,0.25
3,0,supporter,false,9,256,false,256,0.75
3,0,map,true,3,256,true,75,0.5
3,0,t,true,1,256,true,118,0.25
3,0,but,true,3,256,true,21,0.125
3,0,shut,false,4,256,false,256,0.75
3,0,my,true,2,256,true,79,0.25
