sorting,domain,item_picture,basic_level_concept,basic_level_concept_prod_freq,superordinate_category,superordinate_category_prod_freq,feature_name,feature_sensorimotor_dominant,feature_prod_freq,feature_occ,feature_total_prod_freq,feature_distinct,feature_cv
a000012,nonliving,accordion,accordion,90,instrument,86,bellow,auditory,5,1,5,1.000,1.000
a000007,nonliving,accordion,accordion,90,instrument,86,button,haptic,7,21,296,0.048,0.024
a000024,nonliving,accordion,accordion,90,instrument,86,difficult,visual,3,7,9,0.143,0.333
a000023,nonliving,accordion,accordion,90,instrument,86,flex,visual,3,37,89,0.027,0.034
a000016,nonliving,accordion,accordion,90,instrument,86,fold,visual,4,11,51,0.091,0.078
a000022,nonliving,accordion,accordion,90,instrument,86,fun,interoceptive,3,52,219,0.019,0.014
a000006,nonliving,accordion,accordion,90,instrument,86,heavy,haptic,7,109,772,0.009,0.009
a000021,nonliving,accordion,accordion,90,instrument,86,instrument,auditory,3,7,13,0.143,0.231
a000001,nonliving,accordion,accordion,90,instrument,86,key,visual,36,10,161,0.100,0.224
a000011,nonliving,accordion,accordion,90,instrument,86,keyboard,haptic,5,1,5,1.000,1.000
a000010,nonliving,accordion,accordion,90,instrument,86,large,visual,5,122,864,0.008,0.006
a000015,nonliving,accordion,accordion,90,instrument,86,long,visual,4,128,1235,0.008,0.003
a000003,nonliving,accordion,accordion,90,instrument,86,loud,auditory,31,62,595,0.016,0.052
a000002,nonliving,accordion,accordion,90,instrument,86,music,auditory,31,15,301,0.067,0.103
a000009,nonliving,accordion,accordion,90,instrument,86,noise,auditory,6,53,121,0.019,0.050
a000014,nonliving,accordion,accordion,90,instrument,86,note,visual,4,8,14,0.125,0.286
a000020,nonliving,accordion,accordion,90,instrument,86,old,visual,3,65,179,0.015,0.017
a000019,nonliving,accordion,accordion,90,instrument,86,piano,auditory,3,1,3,1.000,1.000
a000008,nonliving,accordion,accordion,90,instrument,86,play,visual,6,34,138,0.029,0.043
a000018,nonliving,accordion,accordion,90,instrument,86,song,auditory,3,13,31,0.077,0.097
a000004,nonliving,accordion,accordion,90,instrument,86,sound,auditory,14,20,154,0.050,0.091
a000005,nonliving,accordion,accordion,90,instrument,86,squeeze,haptic,8,4,14,0.250,0.571
a000013,nonliving,accordion,accordion,90,instrument,86,stretch,interoceptive,4,8,17,0.125,0.235
a000017,nonliving,accordion,accordion,90,instrument,86,weird,interoceptive,3,6,12,0.167,0.250
a000121,nonliving,airplane,plane,93,transport,47,big,visual,4,116,414,0.009,0.010
a000124,nonliving,airplane,plane,93,transport,47,cabin,visual,3,5,9,0.200,0.333
a000114,nonliving,airplane,plane,93,transport,47,cockpit,visual,7,2,12,0.500,0.583
a000108,nonliving,airplane,plane,93,transport,47,engine,auditory,19,7,69,0.143,0.275
a000110,nonliving,airplane,plane,93,transport,47,fast,visual,16,86,614,0.012,0.026
a000105,nonliving,airplane,plane,93,transport,47,fly,visual,43,26,355,0.038,0.121
a000116,nonliving,airplane,plane,93,transport,47,heavy,haptic,6,109,772,0.009,0.008
a000115,nonliving,airplane,plane,93,transport,47,huge,visual,6,18,53,0.056,0.113
a000118,nonliving,airplane,plane,93,transport,47,jet,visual,5,1,5,1.000,1.000
a000107,nonliving,airplane,plane,93,transport,47,large,visual,23,122,864,0.008,0.027
a000123,nonliving,airplane,plane,93,transport,47,long,visual,3,128,1235,0.008,0.002
a000111,nonliving,airplane,plane,93,transport,47,loud,auditory,9,62,595,0.016,0.015
a000109,nonliving,airplane,plane,93,transport,47,metal,visual,16,100,2252,0.010,0.007
a000120,nonliving,airplane,plane,93,transport,47,pilot,visual,4,2,8,0.500,0.500
a000122,nonliving,airplane,plane,93,transport,47,power,visual,3,35,110,0.029,0.027
a000112,nonliving,airplane,plane,93,transport,47,sky,visual,8,10,53,0.100,0.151
a000119,nonliving,airplane,plane,93,transport,47,transport,visual,4,21,69,0.048,0.058
a000113,nonliving,airplane,plane,93,transport,47,travel,visual,7,18,60,0.056,0.117
a000117,nonliving,airplane,plane,93,transport,47,window,visual,5,13,117,0.077,0.043
a000106,nonliving,airplane,plane,93,transport,47,wing,visual,42,20,403,0.050,0.104
a000201,living,alligator,alligator,83,animal,57,aggressive,interoceptive,3,25,42,0.040,0.071
a000214,living,alligator,alligator,83,animal,57,aquatic,visual,3,11,43,0.091,0.070
a000200,living,alligator,alligator,83,animal,57,claw,visual,3,20,142,0.050,0.021
a000184,living,alligator,alligator,83,animal,57,danger,interoceptive,17,53,274,0.019,0.062
a000199,living,alligator,alligator,83,animal,57,dead,visual,3,11,24,0.091,0.125
a000198,living,alligator,alligator,83,animal,57,dinosaur,visual,3,3,5,0.333,0.600
a000197,living,alligator,alligator,83,animal,57,eye,visual,3,51,201,0.020,0.015
a000190,living,alligator,alligator,83,animal,57,fast,visual,6,86,614,0.012,0.010
a000196,living,alligator,alligator,83,animal,57,florida,NA,3,2,4,0.500,0.750
a000182,living,alligator,alligator,83,animal,57,green,visual,31,37,826,0.027,0.038
a000188,living,alligator,alligator,83,animal,57,large,visual,8,122,864,0.008,0.009
a000195,living,alligator,alligator,83,animal,57,leather,visual,3,27,336,0.037,0.009
a000185,living,alligator,alligator,83,animal,57,long,visual,14,128,1235,0.008,0.011
a000189,living,alligator,alligator,83,animal,57,reptile,visual,7,4,19,0.250,0.368
a000180,living,alligator,alligator,83,animal,57,scale,visual,47,14,134,0.071,0.351
a000192,living,alligator,alligator,83,animal,57,snout,visual,4,13,43,0.077,0.093
a000186,living,alligator,alligator,83,animal,57,strong,visual,9,72,310,0.014,0.029
a000187,living,alligator,alligator,83,animal,57,swamp,visual,8,3,11,0.333,0.727
a000194,living,alligator,alligator,83,animal,57,swim,haptic,3,11,114,0.091,0.026
a000183,living,alligator,alligator,83,animal,57,tail,visual,28,41,643,0.024,0.044
a000181,living,alligator,alligator,83,animal,57,tooth,haptic,31,25,179,0.040,0.173
a000193,living,alligator,alligator,83,animal,57,tough,haptic,3,26,47,0.038,0.064
a000191,living,alligator,alligator,83,animal,57,water,visual,4,45,322,0.022,0.012
a000270,nonliving,anchor,anchor,97,tool,33,big,visual,3,116,414,0.009,0.007
a000250,nonliving,anchor,anchor,97,tool,33,boat,visual,13,3,16,0.333,0.813
a000269,nonliving,anchor,anchor,97,tool,33,gray,visual,3,39,149,0.026,0.020
a000263,nonliving,anchor,anchor,97,tool,33,hard,haptic,4,139,560,0.007,0.007
a000248,nonliving,anchor,anchor,97,tool,33,heavy,haptic,72,109,772,0.009,0.093
a000259,nonliving,anchor,anchor,97,tool,33,hold,haptic,5,56,176,0.018,0.028
a000258,nonliving,anchor,anchor,97,tool,33,hook,visual,5,11,33,0.091,0.152
a000257,nonliving,anchor,anchor,97,tool,33,iron,visual,5,19,65,0.053,0.077
a000251,nonliving,anchor,anchor,97,tool,33,large,visual,12,122,864,0.008,0.014
a000249,nonliving,anchor,anchor,97,tool,33,metal,visual,58,100,2252,0.010,0.026
a000256,nonliving,anchor,anchor,97,tool,33,ocean,visual,6,6,38,0.167,0.158
a000268,nonliving,anchor,anchor,97,tool,33,point,visual,3,38,307,0.026,0.010
a000262,nonliving,anchor,anchor,97,tool,33,ring,visual,4,19,85,0.053,0.047
a000267,nonliving,anchor,anchor,97,tool,33,rope,visual,3,6,39,0.167,0.077
a000266,nonliving,anchor,anchor,97,tool,33,sail,visual,3,3,65,0.333,0.046
a000261,nonliving,anchor,anchor,97,tool,33,sea,visual,4,12,42,0.083,0.095
a000260,nonliving,anchor,anchor,97,tool,33,sharp,haptic,4,50,599,0.020,0.007
a000254,nonliving,anchor,anchor,97,tool,33,ship,visual,7,6,18,0.167,0.389
a000253,nonliving,anchor,anchor,97,tool,33,sink,visual,7,1,7,1.000,1.000
a000252,nonliving,anchor,anchor,97,tool,33,stop,visual,8,4,22,0.250,0.364
a000265,nonliving,anchor,anchor,97,tool,33,useful,visual,3,164,392,0.006,0.008
a000264,nonliving,anchor,anchor,97,tool,33,water,visual,3,45,322,0.022,0.009
a000255,nonliving,anchor,anchor,97,tool,33,weight,visual,6,17,22,0.059,0.273
a000323,living,ant,ant,96,insect,86,antenna,visual,24,12,130,0.083,0.185
a000329,living,ant,ant,96,insect,86,bite,visual,8,14,33,0.071,0.242
a000324,living,ant,ant,96,insect,86,black,visual,18,58,247,0.017,0.073
a000332,living,ant,ant,96,insect,86,brown,visual,5,93,455,0.011,0.011
a000331,living,ant,ant,96,insect,86,colony,visual,5,3,7,0.333,0.714
a000340,living,ant,ant,96,insect,86,crawl,visual,3,10,45,0.100,0.067
a000327,living,ant,ant,96,insect,86,eye,visual,11,51,201,0.020,0.055
a000330,living,ant,ant,96,insect,86,fast,visual,7,86,614,0.012,0.011
a000322,living,ant,ant,96,insect,86,leg,visual,30,65,662,0.015,0.045
a000335,living,ant,ant,96,insect,86,numerous,visual,4,6,10,0.167,0.400
a000334,living,ant,ant,96,insect,86,pest,visual,4,11,25,0.091,0.160
a000339,living,ant,ant,96,insect,86,queen,visual,3,3,10,0.333,0.300
a000328,living,ant,ant,96,insect,86,red,visual,10,43,709,0.023,0.014
a000338,living,ant,ant,96,insect,86,segment,visual,3,13,28,0.077,0.107
a000321,living,ant,ant,96,insect,86,small,visual,43,180,1681,0.006,0.026
a000337,living,ant,ant,96,insect,86,social,visual,3,6,9,0.167,0.333
a000326,living,ant,ant,96,insect,86,strong,visual,14,72,310,0.014,0.045
a000336,living,ant,ant,96,insect,86,thorax,visual,3,4,6,0.250,0.500
a000325,living,ant,ant,96,insect,86,tiny,visual,15,24,71,0.042,0.211
a000333,living,ant,ant,96,insect,86,worker,visual,4,3,8,0.333,0.500
a000426,living,apple,apple,100,fruit,91,core,visual,3,3,6,0.333,0.500
a000410,living,apple,apple,100,fruit,91,crisp,haptic,14,16,70,0.063,0.200
a000414,living,apple,apple,100,fruit,91,crunch,auditory,10,19,123,0.053,0.081
a000425,living,apple,apple,100,fruit,91,delicious,gustatory,3,24,54,0.042,0.056
a000420,living,apple,apple,100,fruit,91,fruit,gustatory,4,15,51,0.067,0.078
a000411,living,apple,apple,100,fruit,91,green,visual,13,37,826,0.027,0.016
a000419,living,apple,apple,100,fruit,91,hard,haptic,4,139,560,0.007,0.007
a000416,living,apple,apple,100,fruit,91,health,interoceptive,7,33,155,0.030,0.045
a000407,living,apple,apple,100,fruit,91,juicy,gustatory,26,21,370,0.048,0.070
a000415,living,apple,apple,100,fruit,91,leaf,visual,7,17,173,0.059,0.040
a000424,living,apple,apple,100,fruit,91,nutritious,gustatory,3,19,51,0.053,0.059
a000417,living,apple,apple,100,fruit,91,pie,gustatory,5,5,20,0.200,0.250
a000405,living,apple,apple,100,fruit,91,red,visual,61,43,709,0.023,0.086
a000409,living,apple,apple,100,fruit,91,round,visual,18,120,1208,0.008,0.015
a000413,living,apple,apple,100,fruit,91,seed,visual,12,16,188,0.063,0.064
a000423,living,apple,apple,100,fruit,91,skin,haptic,3,37,242,0.027,0.012
a000422,living,apple,apple,100,fruit,91,smooth,haptic,3,166,381,0.006,0.008
a000408,living,apple,apple,100,fruit,91,stem,visual,19,31,270,0.032,0.070
a000406,living,apple,apple,100,fruit,91,sweet,gustatory,31,31,568,0.032,0.055
a000421,living,apple,apple,100,fruit,91,tart,gustatory,3,12,52,0.083,0.058
a000412,living,apple,apple,100,fruit,91,taste,gustatory,12,43,319,0.023,0.038
a000418,living,apple,apple,100,fruit,91,tree,visual,4,21,68,0.048,0.059
a000479,living,arm,arm,96,body,64,attach,visual,3,19,29,0.053,0.103
a000463,living,arm,arm,96,body,64,bend,visual,15,14,83,0.071,0.181
a000478,living,arm,arm,96,body,64,bicep,visual,3,1,3,1.000,1.000
a000474,living,arm,arm,96,body,64,bone,visual,4,12,45,0.083,0.089
a000458,living,arm,arm,96,body,64,elbow,haptic,31,1,31,1.000,1.000
a000459,living,arm,arm,96,body,64,finger,haptic,21,15,163,0.067,0.129
a000464,living,arm,arm,96,body,64,flesh,haptic,10,32,117,0.031,0.085
a000468,living,arm,arm,96,body,64,flex,visual,7,37,89,0.027,0.079
a000477,living,arm,arm,96,body,64,forearm,visual,3,1,3,1.000,1.000
a000476,living,arm,arm,96,body,64,grab,haptic,3,4,11,0.250,0.273
a000470,living,arm,arm,96,body,64,hair,visual,5,44,238,0.023,0.021
a000457,living,arm,arm,96,body,64,hand,visual,34,21,173,0.048,0.197
a000475,living,arm,arm,96,body,64,human,visual,3,18,46,0.056,0.065
a000465,living,arm,arm,96,body,64,joint,visual,9,9,41,0.111,0.220
a000469,living,arm,arm,96,body,64,lift,visual,6,7,12,0.143,0.500
a000473,living,arm,arm,96,body,64,limb,visual,4,5,8,0.200,0.500
a000460,living,arm,arm,96,body,64,long,visual,20,128,1235,0.008,0.016
a000461,living,arm,arm,96,body,64,muscle,visual,16,12,49,0.083,0.327
a000472,living,arm,arm,96,body,64,part,visual,4,7,13,0.143,0.308
a000471,living,arm,arm,96,body,64,reach,haptic,4,3,6,0.333,0.667
a000462,living,arm,arm,96,body,64,skin,haptic,15,37,242,0.027,0.062
a000467,living,arm,arm,96,body,64,strong,visual,7,72,310,0.014,0.023
a000466,living,arm,arm,96,body,64,wrist,visual,8,4,31,0.250,0.258
a000532,nonliving,arrow,arrow,98,sign,39,direct,auditory,51,3,58,0.333,0.879
a000547,nonliving,arrow,arrow,98,sign,39,draw,visual,4,7,17,0.143,0.235
a000554,nonliving,arrow,arrow,98,sign,39,go,visual,3,5,14,0.200,0.214
a000546,nonliving,arrow,arrow,98,sign,39,guide,visual,4,4,8,0.250,0.500
a000541,nonliving,arrow,arrow,98,sign,39,help,visual,5,42,57,0.024,0.088
a000553,nonliving,arrow,arrow,98,sign,39,information,auditory,3,5,15,0.200,0.200
a000540,nonliving,arrow,arrow,98,sign,39,instruction,auditory,5,1,5,1.000,1.000
a000533,nonliving,arrow,arrow,98,sign,39,left,visual,33,3,35,0.333,0.943
a000545,nonliving,arrow,arrow,98,sign,39,line,visual,4,18,32,0.056,0.125
a000536,nonliving,arrow,arrow,98,sign,39,long,visual,8,128,1235,0.008,0.006
a000531,nonliving,arrow,arrow,98,sign,39,point,visual,63,38,307,0.026,0.205
a000544,nonliving,arrow,arrow,98,sign,39,pointer,visual,4,2,9,0.500,0.444
a000534,nonliving,arrow,arrow,98,sign,39,pointy,haptic,10,44,210,0.023,0.048
a000535,nonliving,arrow,arrow,98,sign,39,rectangle,visual,9,46,215,0.022,0.042
a000552,nonliving,arrow,arrow,98,sign,39,right,visual,3,2,4,0.500,0.750
a000551,nonliving,arrow,arrow,98,sign,39,shape,visual,3,43,69,0.023,0.043
a000543,nonliving,arrow,arrow,98,sign,39,sharp,haptic,4,50,599,0.020,0.007
a000539,nonliving,arrow,arrow,98,sign,39,sign,visual,5,8,17,0.125,0.294
a000550,nonliving,arrow,arrow,98,sign,39,straight,visual,3,21,47,0.048,0.064
a000549,nonliving,arrow,arrow,98,sign,39,street,visual,3,3,7,0.333,0.429
a000537,nonliving,arrow,arrow,98,sign,39,triangle,visual,7,8,21,0.125,0.333
a000542,nonliving,arrow,arrow,98,sign,39,useful,visual,4,164,392,0.006,0.010
a000538,nonliving,arrow,arrow,98,sign,39,white,visual,5,74,534,0.014,0.009
a000548,nonliving,arrow,arrow,98,sign,39,yellow,visual,3,42,475,0.024,0.006
a000623,living,artichoke,artichoke,61,vegetable,57,beautiful,visual,3,54,131,0.019,0.023
a000622,living,artichoke,artichoke,61,vegetable,57,chew,visual,3,14,18,0.071,0.167
a000614,living,artichoke,artichoke,61,vegetable,57,eat,gustatory,4,41,122,0.024,0.033
a000611,living,artichoke,artichoke,61,vegetable,57,edible,gustatory,7,33,109,0.030,0.064
a000621,living,artichoke,artichoke,61,vegetable,57,fiber,visual,3,11,16,0.091,0.188
a000620,living,artichoke,artichoke,61,vegetable,57,garden,visual,3,15,34,0.067,0.088
a000600,living,artichoke,artichoke,61,vegetable,57,green,visual,71,37,826,0.027,0.086
a000619,living,artichoke,artichoke,61,vegetable,57,grow,visual,3,14,31,0.071,0.097
a000610,living,artichoke,artichoke,61,vegetable,57,hard,haptic,7,139,560,0.007,0.013
a000606,living,artichoke,artichoke,61,vegetable,57,health,interoceptive,9,33,155,0.030,0.058
a000604,living,artichoke,artichoke,61,vegetable,57,heart,interoceptive,11,5,15,0.200,0.733
a000618,living,artichoke,artichoke,61,vegetable,57,layer,visual,3,10,55,0.100,0.055
a000601,living,artichoke,artichoke,61,vegetable,57,leaf,visual,15,17,173,0.059,0.087
a000609,living,artichoke,artichoke,61,vegetable,57,leafy,visual,7,10,84,0.100,0.083
a000617,living,artichoke,artichoke,61,vegetable,57,pointy,haptic,3,44,210,0.023,0.014
a000616,living,artichoke,artichoke,61,vegetable,57,rough,haptic,3,33,83,0.030,0.036
a000602,living,artichoke,artichoke,61,vegetable,57,round,visual,13,120,1208,0.008,0.011
a000603,living,artichoke,artichoke,61,vegetable,57,small,visual,12,180,1681,0.006,0.007
a000615,living,artichoke,artichoke,61,vegetable,57,spiky,haptic,3,4,11,0.250,0.273
a000613,living,artichoke,artichoke,61,vegetable,57,spine,visual,4,9,44,0.111,0.091
a000608,living,artichoke,artichoke,61,vegetable,57,stem,visual,7,31,270,0.032,0.026
a000605,living,artichoke,artichoke,61,vegetable,57,taste,gustatory,10,43,319,0.023,0.031
a000607,living,artichoke,artichoke,61,vegetable,57,tough,haptic,7,26,47,0.038,0.149
a000612,living,artichoke,artichoke,61,vegetable,57,vegetable,gustatory,5,19,57,0.053,0.088
a000694,nonliving,ashtray,ashtray,60,tool,15,ash,visual,15,4,39,0.250,0.385
a000706,nonliving,ashtray,ashtray,60,tool,15,butt,visual,5,3,7,0.333,0.714
a000717,nonliving,ashtray,ashtray,60,tool,15,cigar,olfactory,3,1,3,1.000,1.000
a000696,nonliving,ashtray,ashtray,60,tool,15,cigarette,olfactory,14,2,15,0.500,0.933
a000716,nonliving,ashtray,ashtray,60,tool,15,container,visual,3,27,91,0.037,0.033
a000705,nonliving,ashtray,ashtray,60,tool,15,dirt,visual,6,35,117,0.029,0.051
a000715,nonliving,ashtray,ashtray,60,tool,15,fireproof,visual,3,3,6,0.333,0.500
a000704,nonliving,ashtray,ashtray,60,tool,15,flat,visual,6,67,308,0.015,0.019
a000692,nonliving,ashtray,ashtray,60,tool,15,glass,visual,28,22,473,0.045,0.059
a000712,nonliving,ashtray,ashtray,60,tool,15,groove,visual,4,8,22,0.125,0.182
a000701,nonliving,ashtray,ashtray,60,tool,15,hard,haptic,8,139,560,0.007,0.014
a000700,nonliving,ashtray,ashtray,60,tool,15,heavy,haptic,9,109,772,0.009,0.012
a000698,nonliving,ashtray,ashtray,60,tool,15,hold,haptic,12,56,176,0.018,0.068
a000703,nonliving,ashtray,ashtray,60,tool,15,hole,visual,6,29,163,0.034,0.037
a000714,nonliving,ashtray,ashtray,60,tool,15,hollow,visual,3,48,161,0.021,0.019
a000697,nonliving,ashtray,ashtray,60,tool,15,metal,visual,12,100,2252,0.010,0.005
a000711,nonliving,ashtray,ashtray,60,tool,15,notch,visual,4,7,15,0.143,0.267
a000710,nonliving,ashtray,ashtray,60,tool,15,open,visual,4,55,181,0.018,0.022
a000709,nonliving,ashtray,ashtray,60,tool,15,plastic,visual,4,52,306,0.019,0.013
a000702,nonliving,ashtray,ashtray,60,tool,15,round,visual,7,120,1208,0.008,0.006
a000695,nonliving,ashtray,ashtray,60,tool,15,small,visual,14,180,1681,0.006,0.008
a000708,nonliving,ashtray,ashtray,60,tool,15,smell,olfactory,4,44,248,0.023,0.016
a000699,nonliving,ashtray,ashtray,60,tool,15,smoke,olfactory,9,9,169,0.111,0.053
a000693,nonliving,ashtray,ashtray,60,tool,15,square,visual,23,29,127,0.034,0.181
a000713,nonliving,ashtray,ashtray,60,tool,15,trash,visual,3,5,22,0.200,0.136
a000707,nonliving,ashtray,ashtray,60,tool,15,useful,visual,4,164,392,0.006,0.010
a000805,living,asparagus,asparagus,83,vegetable,74,bitter,gustatory,5,10,30,0.100,0.167
a000812,living,asparagus,asparagus,83,vegetable,74,chew,visual,3,14,18,0.071,0.167
a000811,living,asparagus,asparagus,83,vegetable,74,crisp,haptic,3,16,70,0.063,0.043
a000804,living,asparagus,asparagus,83,vegetable,74,crunch,auditory,5,19,123,0.053,0.041
a000803,living,asparagus,asparagus,83,vegetable,74,edible,gustatory,5,33,109,0.030,0.046
a000802,living,asparagus,asparagus,83,vegetable,74,food,gustatory,5,57,212,0.018,0.024
a000792,living,asparagus,asparagus,83,vegetable,74,green,visual,83,37,826,0.027,0.100
a000800,living,asparagus,asparagus,83,vegetable,74,hard,haptic,6,139,560,0.007,0.011
a000794,living,asparagus,asparagus,83,vegetable,74,health,interoceptive,16,33,155,0.030,0.103
a000793,living,asparagus,asparagus,83,vegetable,74,long,visual,31,128,1235,0.008,0.025
a000810,living,asparagus,asparagus,83,vegetable,74,plant,visual,3,23,44,0.043,0.068
a000801,living,asparagus,asparagus,83,vegetable,74,pointy,haptic,5,44,210,0.023,0.024
a000806,living,asparagus,asparagus,83,vegetable,74,rough,haptic,4,33,83,0.030,0.048
a000809,living,asparagus,asparagus,83,vegetable,74,small,visual,3,180,1681,0.006,0.002
a000799,living,asparagus,asparagus,83,vegetable,74,smell,olfactory,6,44,248,0.023,0.024
a000795,living,asparagus,asparagus,83,vegetable,74,stalk,visual,9,10,44,0.100,0.205
a000808,living,asparagus,asparagus,83,vegetable,74,steam,visual,3,6,70,0.167,0.043
a000798,living,asparagus,asparagus,83,vegetable,74,stem,visual,6,31,270,0.032,0.022
a000797,living,asparagus,asparagus,83,vegetable,74,taste,gustatory,8,43,319,0.023,0.025
a000796,living,asparagus,asparagus,83,vegetable,74,thin,visual,8,71,281,0.014,0.028
a000807,living,asparagus,asparagus,83,vegetable,74,vegetable,gustatory,3,19,57,0.053,0.053
a000886,nonliving,axe,axe,91,tool,89,blade,visual,9,11,129,0.091,0.070
a000880,nonliving,axe,axe,91,tool,89,chop,visual,23,5,27,0.200,0.852
a000884,nonliving,axe,axe,91,tool,89,cut,haptic,13,16,154,0.063,0.084
a000885,nonliving,axe,axe,91,tool,89,danger,interoceptive,10,53,274,0.019,0.036
a000878,nonliving,axe,axe,91,tool,89,handle,haptic,34,65,1126,0.015,0.030
a000893,nonliving,axe,axe,91,tool,89,hard,haptic,3,139,560,0.007,0.005
a000892,nonliving,axe,axe,91,tool,89,head,visual,3,43,166,0.023,0.018
a000882,nonliving,axe,axe,91,tool,89,heavy,haptic,17,109,772,0.009,0.022
a000888,nonliving,axe,axe,91,tool,89,long,visual,5,128,1235,0.008,0.004
a000879,nonliving,axe,axe,91,tool,89,metal,visual,31,100,2252,0.010,0.014
a000877,nonliving,axe,axe,91,tool,89,sharp,haptic,66,50,599,0.020,0.110
a000891,nonliving,axe,axe,91,tool,89,split,visual,3,5,7,0.200,0.429
a000890,nonliving,axe,axe,91,tool,89,sturdy,visual,3,84,242,0.012,0.012
a000889,nonliving,axe,axe,91,tool,89,swing,visual,3,9,38,0.111,0.079
a000887,nonliving,axe,axe,91,tool,89,tree,visual,6,21,68,0.048,0.088
a000881,nonliving,axe,axe,91,tool,89,wood,visual,17,68,807,0.015,0.021
a000883,nonliving,axe,axe,91,tool,89,wooden,visual,14,53,810,0.019,0.017
a000933,nonliving,baby_carriage,carriage,44,baby,26,baby,visual,29,7,48,0.143,0.604
a000955,nonliving,baby_carriage,carriage,44,baby,26,basket,visual,3,2,4,0.500,0.750
a000948,nonliving,baby_carriage,carriage,44,baby,26,bed,haptic,4,3,8,0.333,0.500
a000947,nonliving,baby_carriage,carriage,44,baby,26,child,visual,4,17,47,0.059,0.085
a000938,nonliving,baby_carriage,carriage,44,baby,26,comfort,interoceptive,7,29,169,0.034,0.041
a000954,nonliving,baby_carriage,carriage,44,baby,26,convenient,visual,3,10,13,0.100,0.231
a000936,nonliving,baby_carriage,carriage,44,baby,26,cover,visual,10,37,138,0.027,0.072
a000932,nonliving,baby_carriage,carriage,44,baby,26,handle,haptic,30,65,1126,0.015,0.027
a000946,nonliving,baby_carriage,carriage,44,baby,26,hold,haptic,4,56,176,0.018,0.023
a000953,nonliving,baby_carriage,carriage,44,baby,26,hood,visual,3,4,12,0.250,0.250
a000942,nonliving,baby_carriage,carriage,44,baby,26,metal,visual,5,100,2252,0.010,0.002
a000952,nonliving,baby_carriage,carriage,44,baby,26,mobile,visual,3,30,44,0.033,0.068
a000951,nonliving,baby_carriage,carriage,44,baby,26,mother,visual,3,4,6,0.250,0.500
a000945,nonliving,baby_carriage,carriage,44,baby,26,move,visual,4,54,121,0.019,0.033
a000940,nonliving,baby_carriage,carriage,44,baby,26,protect,visual,6,39,284,0.026,0.021
a000934,nonliving,baby_carriage,carriage,44,baby,26,push,haptic,14,8,28,0.125,0.500
a000935,nonliving,baby_carriage,carriage,44,baby,26,roll,visual,10,13,102,0.077,0.098
a000937,nonliving,baby_carriage,carriage,44,baby,26,safe,visual,7,52,129,0.019,0.054
a000944,nonliving,baby_carriage,carriage,44,baby,26,shade,visual,4,10,64,0.100,0.063
a000950,nonliving,baby_carriage,carriage,44,baby,26,slow,visual,3,36,200,0.028,0.015
a000939,nonliving,baby_carriage,carriage,44,baby,26,small,visual,6,180,1681,0.006,0.004
a000949,nonliving,baby_carriage,carriage,44,baby,26,soft,haptic,3,112,774,0.009,0.004
a000943,nonliving,baby_carriage,carriage,44,baby,26,sturdy,visual,4,84,242,0.012,0.017
a000941,nonliving,baby_carriage,carriage,44,baby,26,transport,visual,5,21,69,0.048,0.072
a000931,nonliving,baby_carriage,carriage,44,baby,26,wheel,visual,59,17,485,0.059,0.122
a001028,nonliving,ball,ball,100,toy,88,air,haptic,4,20,67,0.050,0.060
a001012,nonliving,ball,ball,100,toy,88,bounce,visual,59,6,70,0.167,0.843
a001027,nonliving,ball,ball,100,toy,88,child,visual,4,17,47,0.059,0.085
a001014,nonliving,ball,ball,100,toy,88,color,visual,20,73,478,0.014,0.042
a001026,nonliving,ball,ball,100,toy,88,decor,visual,4,32,92,0.031,0.043
a001023,nonliving,ball,ball,100,toy,88,design,visual,5,15,29,0.067,0.172
a001015,nonliving,ball,ball,100,toy,88,fun,interoceptive,13,52,219,0.019,0.059
a001031,nonliving,ball,ball,100,toy,88,hard,haptic,3,139,560,0.007,0.005
a001030,nonliving,ball,ball,100,toy,88,kick,visual,3,11,24,0.091,0.125
a001022,nonliving,ball,ball,100,toy,88,kid,visual,5,16,44,0.063,0.114
a001018,nonliving,ball,ball,100,toy,88,light,visual,9,114,518,0.009,0.017
a001025,nonliving,ball,ball,100,toy,88,plastic,visual,4,52,306,0.019,0.013
a001016,nonliving,ball,ball,100,toy,88,play,visual,12,34,138,0.029,0.087
a001029,nonliving,ball,ball,100,toy,88,roll,visual,3,13,102,0.077,0.029
a001011,nonliving,ball,ball,100,toy,88,round,visual,59,120,1208,0.008,0.049
a001013,nonliving,ball,ball,100,toy,88,rubber,haptic,30,15,97,0.067,0.309
a001021,nonliving,ball,ball,100,toy,88,small,visual,5,180,1681,0.006,0.003
a001020,nonliving,ball,ball,100,toy,88,sphere,visual,6,7,13,0.143,0.462
a001017,nonliving,ball,ball,100,toy,88,star,visual,11,4,16,0.250,0.688
a001019,nonliving,ball,ball,100,toy,88,stripe,visual,8,16,271,0.063,0.030
a001024,nonliving,ball,ball,100,toy,88,throw,visual,4,4,26,0.250,0.154
a001063,nonliving,balloon,balloon,100,toy,57,air,haptic,21,20,67,0.050,0.313
a001078,nonliving,balloon,balloon,100,toy,57,airfilled,NA,3,1,3,1.000,1.000
a001071,nonliving,balloon,balloon,100,toy,57,birthday,visual,5,3,17,0.333,0.294
a001077,nonliving,balloon,balloon,100,toy,57,child,visual,3,17,47,0.059,0.064
